NAME,NORTH,EAST,ELEVATION,TIMESTAMP,LATITUDE,LONGITUDE,TIMESTEP_s_da,DISTANCE_m_da,VELOCITY_kmh_da,VELOCITY_[km/h]_da_smoothed,TIMESTEP_s_da_smoothed,ACCELERATION_ms2_p,ACCELERATION_[m/s^2]_p_smoothed,VELOCITY_kmh_p,EMISSION_[g/s]_p 
10375,186089.8569,160536.4953,53.739178,2019-09-30 05:31:49,50.98495187377045,4.518806912080073,1.0080645381651347,16.05186798205913,57.32442968442821,57.31751781328482,1.0081860998177994,-0.0322318286134009,-0.026190364865382787,57.270045447483724,2.83020179418097
10376,186101.8989,160546.7494,53.649126,2019-09-30 05:31:50,50.985059933552954,4.5189532911664125,1.0072580843486212,16.006311952552185,57.20750612436298,57.222516876232135,1.0069938579217224,0.001660201457456158,0.015281383014557512,57.250171942612965,2.9504124028191923
10377,186113.9423,160556.8139,53.542059,2019-09-30 05:31:51,50.985168009201196,4.519096970826283,1.006532275913759,15.996460718157431,57.21352406020699,57.277870808518145,1.0054015237033322,0.04658779018339382,0.05600841467151656,57.37910543402638,3.1221967812617706
10378,186125.7947,160566.7788,53.441772,2019-09-30 05:31:52,50.98527436957095,4.51923922717833,1.0058790483223832,16.033231693387883,57.38228089397215,57.4804651358381,1.0041608737819547,0.09241338484314257,0.09073056144865173,57.64438425769493,3.3099305738371085
10379,186137.007,160577.02,53.26088,2019-09-30 05:31:53,50.98537497076707,4.519385400474647,1.0052911434901446,16.117281997002195,57.71682717483,57.80837880144834,1.0036990552614184,0.1402216104784093,0.11320118865856867,58.013134164092385,3.516606054287041
10380,186148.2467,160587.1025,53.157402,2019-09-30 05:31:54,50.98547582099037,4.519529315092462,1.00476202914113,16.250396538954625,58.22416238225447,58.21765003109232,1.0048744239761098,0.1420522145035213,0.12085068543042081,58.436422145346256,3.556321637689093
10381,186159.737,160596.8468,53.001274,2019-09-30 05:31:55,50.98557892991531,4.519668421182126,1.0042858262270171,16.38600114278392,58.73786383667194,58.655013718582474,1.0057043784363422,0.11562741019157843,0.11236650703837776,58.8583768379145,3.488291485385363
10382,186171.4475,160606.3703,52.899986,2019-09-30 05:31:56,50.985684022132794,4.519804389789009,1.0038572436043154,16.495554367536943,59.155817325097715,59.061790316527066,1.0054553951866199,0.0896826424430903,0.09097324037261825,59.226356460337065,3.417381767963524
10383,186183.3617,160615.8107,52.879863,2019-09-30 05:31:57,50.98579094680121,4.519939181475513,1.003471519243884,16.579539828424096,59.47985791096536,59.391001623967526,1.004972836798227,0.05485811656230269,0.0671628942136362,59.512362314612126,3.306218555354989
10384,186195.2744,160625.5417,52.918241,2019-09-30 05:31:58,50.98589785247979,4.520078112306468,1.0031243673194956,16.62901511856942,59.67799843883471,59.63385670639795,1.0038668926208696,0.0330219406449865,0.04780296691017653,59.7201306137144,3.238490256943623
10385,186207.3235,160635.4444,52.941379,2019-09-30 05:31:59,50.98600598094364,4.520219493019079,1.002811930587546,16.657048871266188,59.79723027569551,59.806508682244726,1.0026563539289282,0.021063576240675543,0.03597619062483495,59.87136143787895,3.204008510323726
10386,186219.5748,160645.5915,52.931465,2019-09-30 05:32:00,50.98611592232732,4.520364360923669,1.0025307375287915,16.673551451335758,59.8732617144169,59.936290598895226,1.0014764781909131,0.028415810871872213,0.03180728287947073,59.99360231350074,3.240610219628723
10387,186232.1812,160656.0252,52.983026,2019-09-30 05:32:01,50.98622905027508,4.520513321527019,1.0022776637759125,16.697891470385844,59.975804575875365,60.05093995565085,1.0010236199097564,0.05049986835417322,0.03370506466173759,60.11171883576467,3.333372237609804
10388,186245.0337,160666.9584,53.019154,2019-09-30 05:32:02,50.98634438102383,4.520669403737961,1.0020498973983212,16.744809777430667,60.15799747623566,60.17245005427124,1.0018092190758559,0.046563310591434315,0.03744644466565299,60.239998642014676,3.3276646576491093
10389,186258.2726,160678.3241,53.022254,2019-09-30 05:32:03,50.98646317695734,4.520831657551714,1.001844907658489,16.788124345538748,60.32595183339642,60.307524190292476,1.002151032651211,0.025309921466682782,0.03582985414497907,60.372104160669004,3.2558923731206137
10390,186271.6315,160689.7926,53.033152,2019-09-30 05:32:04,50.986583049453294,4.520995379753159,1.0016604168926402,16.810429175133944,60.41722724575686,60.43673662626504,1.001337074248679,0.028504591376855053,0.028511279914564567,60.488117066442115,3.276450032989207
10391,186284.8799,160701.198,53.060683,2019-09-30 05:32:05,50.986701929588904,4.521158200894747,1.0014943752033765,16.836234788155505,60.52000564162078,60.539505989345045,1.001171784388648,0.02294411793236695,0.011361364739563364,60.55999147358585,3.2603092518489856
10392,186297.9952,160712.5339,53.112466,2019-09-30 05:32:06,50.98681961433277,4.521320029147699,1.001344937683039,16.85673017007713,60.60272172813078,60.58046589364278,1.0017128081982247,-0.007829706005409422,-0.012901577053832238,60.557199365220875,3.14264224302671
10393,186310.9171,160723.6943,53.150472,2019-09-30 05:32:07,50.98693556361418,4.521479353087819,1.0012104439147351,16.846616890484007,60.57449877231535,60.533936750255464,1.0018813257752723,-0.03999605632143104,-0.03783225950448612,60.4657274228226,3.014581329946833
10394,186323.6547,160734.8154,53.18027,2019-09-30 05:32:08,50.987049856712204,4.521638112683611,1.0010893995232615,16.80449449688927,60.43034739715638,60.39750124106562,1.0016338250044796,-0.06107646370211824,-0.06440431110106319,60.28137304839761,2.923136814272777
10395,186336.3837,160745.8133,53.211106,2019-09-30 05:32:09,50.98716407457835,4.521795118202898,1.000980459570935,16.74146618971534,60.21024457241585,60.16525588274271,1.0017289446991673,-0.09871493050940583,-0.09089679054195851,60.00145079810601,2.7652796011871006
10396,186349.2359,160756.8132,53.291156,2019-09-30 05:32:10,50.987279399652444,4.5219521566077825,1.0008824136138414,16.640932298680532,59.85453981446742,59.83755369518697,1.0011665346551184,-0.11675038528623835,-0.11202176023748935,59.63575436978306,2.6761974864879394
10397,186362.2759,160767.9784,53.36297,2019-09-30 05:32:11,50.987396409585564,4.522111555525794,1.0007941722524571,16.52252412081783,59.433886091754424,59.43387998227777,1.000794275128605,-0.12548341607690092,-0.12528450564866672,59.20820941502705,2.6181632584523657
10398,186375.2796,160779.2022,53.473666,2019-09-30 05:32:12,50.98751309189943,4.522271788745304,1.0007147550272113,16.39554514274058,58.981804972248185,58.98251818619915,1.000702654429506,-0.1331992579191047,-0.13057662374687468,58.74737008715793,2.5624442043547178
10399,186388.1695,160790.3031,53.495843,2019-09-30 05:32:13,50.98762875332637,4.522430269051107,1.00064327952449,16.26099865486504,58.50196204318928,58.51216701397604,1.0004687596603894,-0.12220815447774722,-0.1269571940518143,58.28348462682758,2.573571288786436
10400,186401.1165,160801.4255,53.520335,2019-09-30 05:32:14,50.9877449274117,4.522589058035377,1.000578951572041,16.137599656956,58.061743827177416,58.054854555194225,1.0006976885939636,-0.1180640570832318,-0.11329353317628045,57.85085641542602,2.5620251222064736
10401,186414.0271,160812.5479,53.623945,2019-09-30 05:32:15,50.98786077407461,4.522747846726898,1.0005210564148368,16.018475364026415,57.63647945314742,57.646785777218156,1.0003421792388074,-0.10167695577796566,-0.09209966165757655,57.48105875189426,2.5972745895693046
10402,186426.7769,160823.4184,53.781657,2019-09-30 05:32:16,50.98797517979171,4.522903043840837,1.0004689507733528,15.915866154440689,57.27026122269598,57.3152226346448,0.9996841244293209,-0.07045371956492878,-0.06734053086287822,57.1940783311119,2.689550471744952
10403,186439.2883,160834.0598,53.919533,2019-09-30 05:32:17,50.98808744659439,4.523054971750407,1.0004220556960175,15.844605272950199,57.01651483776637,57.07290366377022,0.9994336247312746,-0.03923323176149983,-0.043981938337348,56.99376095612314,2.7872366510379507
10404,186451.6858,160844.4473,54.002916,2019-09-30 05:32:18,50.98819869410579,4.523203280910232,1.0003798501264156,15.804672953318686,56.875218572982405,56.91463830562378,0.9996869755443083,-0.013166215417237722,-0.026595982149486337,56.866741654263464,2.8715551959429484
